,tag
350,#2_TIMER_2_Ponedeljek_3
351,#2_TIMER_2_Ponedeljek_2
352,#2_TIMER_2_Torek_3
353,#2_TIMER_2_Torek_2
354,#2_TIMER_2_Torek_1
355,#2_TIMER_2_Sreda_3
356,#2_TIMER_2_Sreda_2
357,#2_TIMER_2_Sreda_1
358,#2_TIMER_2_Sobota_3
359,#2_TIMER_2_Sobota_2
360,#2_TIMER_2_Sobota_1
361,#2_TIMER_2_Ura_ON_3
362,#2_TIMER_2_Ura_ON_2
363,#2_TIMER_2_Ura_ON_1
364,#2_TIMER_2_Ura_OFF_3
365,#2_TIMER_2_Ura_OFF_2
366,#2_TIMER_2_Ura_OFF_1
367,#2_TIMER_5_Ura_ON_3
368,#2_TIMER_5_Ura_ON_2
369,#2_TIMER_5_Ura_ON_1
370,#2_TIMER_5_Ura_OFF_3
371,#2_TIMER_5_Ura_OFF_2
372,#2_TIMER_5_Ura_OFF_1
373,#2_TIMER_5_Torek_3
374,#2_TIMER_5_Torek_2
375,#2_TIMER_5_Torek_1
376,#2_TIMER_5_Sreda_3
377,#2_TIMER_5_Sreda_2
378,#2_TIMER_5_Sreda_1
379,#2_TIMER_5_Sobota_3
380,#2_TIMER_5_Sobota_2
381,#2_TIMER_5_Sobota_1
382,#2_TIMER_5_Ponedeljek_3
383,#2_TIMER_5_Ponedeljek_2
384,#2_TIMER_5_Ponedeljek_1
385,#2_TIMER_5_Petek_3
386,#2_TIMER_5_Petek_2
387,#2_TIMER_5_Petek_1
388,#2_TIMER_5_Nedelja_3
389,#2_TIMER_5_Nedelja_2
390,#2_TIMER_5_Nedelja_1
391,#2_TIMER_5_Minute_ON_3
392,#2_TIMER_5_Minute_ON_2
393,#2_TIMER_5_Minute_ON_1
394,#2_TIMER_5_Minute_OFF_3
395,#2_TIMER_5_Minute_OFF_2
396,#2_TIMER_5_Minute_OFF_1
397,#2_TIMER_5_Cetrtek_3
398,#2_TIMER_5_Cetrtek_2
399,#2_TIMER_5_Cetrtek_1
400,#2_TIMER_4_Ura_ON_3
401,#2_TIMER_4_Ura_ON_2
402,#2_TIMER_4_Ura_ON_1
403,#2_TIMER_4_Ura_OFF_3
404,#2_TIMER_4_Ura_OFF_2
405,#2_TIMER_4_Ura_OFF_1
406,#2_TIMER_4_Torek_3
407,#2_TIMER_4_Torek_2
408,#2_TIMER_4_Torek_1
409,#2_TIMER_4_Sreda_3
410,#2_TIMER_4_Sreda_2
411,#2_TIMER_4_Sreda_1
412,#2_TIMER_4_Sobota_3
413,#2_TIMER_4_Sobota_2
414,#2_TIMER_4_Sobota_1
415,#2_TIMER_4_Ponedeljek_3
416,#2_TIMER_4_Ponedeljek_2
417,#2_TIMER_4_Ponedeljek_1
418,#2_TIMER_4_Petek_3
419,#2_TIMER_4_Petek_2
420,#2_TIMER_4_Petek_1
421,#2_TIMER_4_Nedelja_3
422,#2_TIMER_4_Nedelja_2
423,#2_TIMER_4_Nedelja_1
424,#2_TIMER_4_Minute_ON_3
425,#2_TIMER_4_Minute_ON_2
426,#2_TIMER_4_Minute_ON_1
427,#2_TIMER_4_Minute_OFF_3
428,#2_TIMER_4_Minute_OFF_2
429,#2_TIMER_4_Minute_OFF_1
430,#2_TIMER_4_Cetrtek_3
431,#2_TIMER_4_Cetrtek_2
432,#2_TIMER_4_Cetrtek_1
433,#2_TIMER_3_Ura_ON_3
434,#2_TIMER_3_Ura_ON_2
435,#2_TIMER_3_Ura_ON_1
436,#2_TIMER_3_Ura_OFF_3
437,#2_TIMER_3_Ura_OFF_2
438,#2_TIMER_3_Ura_OFF_1
439,#2_TIMER_3_Torek_3
440,#2_TIMER_3_Torek_2
441,#2_TIMER_3_Torek_1
442,#2_TIMER_3_Sreda_3
443,#2_TIMER_3_Sreda_2
444,#2_TIMER_3_Sreda_1
445,#2_TIMER_3_Sobota_3
446,#2_TIMER_3_Sobota_2
447,#2_TIMER_3_Sobota_1
448,#2_TIMER_3_Ponedeljek_3
449,#2_TIMER_3_Ponedeljek_2
450,#2_TIMER_3_Ponedeljek_1
451,#2_TIMER_3_Petek_3
452,#2_TIMER_3_Petek_2
453,#2_TIMER_3_Petek_1
454,#2_TIMER_3_Nedelja_3
455,#2_TIMER_3_Nedelja_2
456,#2_TIMER_3_Nedelja_1
457,#2_TIMER_3_Minute_ON_3
458,#2_TIMER_3_Minute_ON_2
459,#2_TIMER_3_Minute_ON_1
460,#2_TIMER_3_Minute_OFF_3
461,#2_TIMER_3_Minute_OFF_2
462,#2_TIMER_3_Minute_OFF_1
463,#2_TIMER_3_Cetrtek_3
464,#2_TIMER_3_Cetrtek_2
465,#2_TIMER_3_Cetrtek_1
466,#2_Izbiran_TIMER
467,#2_Timer_SPREMEMBA_Nast
468,#2_Geslo_ZAGON_AAXX
469,#2_Geslo_ZAGON_CCXX
470,#2_Geslo_ZAGON_XXBB
471,#2_Geslo_ZAGON_XXDD
472,#2_Zagon_opravlja_oseba
473,#2_Pravilna_koda_za_prvi_zagon
474,#2_Opravljen_prvi_zagon
475,#2_Izbira_mPC_pCO3
476,#2_Izbira_Mitsubishi_Fujitsu
477,#2_Dan_ZAGONA
478,#2_Mesec_ZAGONA
479,#2_Leto_ZAGONA
480,#2_Min_ZAGONA
481,#2_Ura_ZAGONA
482,#2_Temp_vode_sanitarna_NIZJA
483,#2_IME_MK3
484,#2_DK3_vklop
485,#2_Max_VF_DK3
486,#2_Min_VF_DK3
487,#2_Nagib_krivulje_DK3
488,#2_Ponoci_min_temp_IZKLOP_DK3
489,#2_Reg_po_RF_AF_KONST_DK3
490,#2_Reg_po_RF_AF_KONST_DK3_HL
491,#2_Rezim_DK3
492,#2_Talno_Radiatorsko_DK3
493,#2_Temp_RF3
